date,time,symbol,entry_price,current_price,high,low,stop_loss,target,status,days_held,pnl_pct
2025-12-09,09:08:15,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,0,0.00
2025-12-09,09:08:15,CHOLAFIN.NS,32.00,32.00,32.00,32.00,0.00,36.00,OPEN,0,0.00
2025-12-09,09:08:15,NIFTY.NS,115.00,115.00,115.00,115.00,0.00,135.00,OPEN,0,0.00
2025-12-09,09:08:15,BANKNIFTY.NS,490.00,490.00,490.00,490.00,0.00,530.00,OPEN,0,0.00
2025-12-09,09:17:01,POLICYBZR.NS,66.00,63.55,73.40,66.00,0.00,73.00,TARGET_HIT,0,-50.00
2025-12-09,09:17:01,NIFTY.NS,115.00,316.00,344.00,115.00,0.00,135.00,TARGET_HIT,0,16.70
2025-12-09,09:17:01,BANKNIFTY.NS,490.00,579.25,688.15,490.00,0.00,530.00,TARGET_HIT,0,7.84
2025-12-09,09:17:01,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,0,0.00
2025-12-09,09:17:01,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,0,-39.38
2025-12-09,09:24:43,POLICYBZR.NS,66.00,66.00,73.40,66.00,0.00,73.00,TARGET_HIT,1,10.43
2025-12-09,09:24:43,NIFTY.NS,115.00,316.00,344.00,115.00,0.00,135.00,TARGET_HIT,0,16.70
2025-12-09,09:24:43,BANKNIFTY.NS,490.00,579.25,688.15,490.00,0.00,530.00,TARGET_HIT,0,7.84
2025-12-09,09:24:43,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,0,0.00
2025-12-09,09:24:43,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,0,-39.38
2025-12-09,09:25:31,NIFTY.NS,115.00,316.00,344.00,115.00,0.00,135.00,TARGET_HIT,0,16.70
2025-12-09,09:25:31,BANKNIFTY.NS,490.00,579.25,688.15,490.00,0.00,530.00,TARGET_HIT,0,7.84
2025-12-09,09:25:31,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,0,0.00
2025-12-09,09:25:31,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,0,-39.38
2025-12-09,09:27:44,NIFTY.NS,115.00,316.00,344.00,115.00,0.00,135.00,TARGET_HIT,0,16.70
2025-12-09,09:27:44,BANKNIFTY.NS,490.00,579.25,688.15,490.00,0.00,530.00,TARGET_HIT,0,7.84
2025-12-09,09:27:44,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,09:27:44,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,0,-39.38
2025-12-09,09:28:01,BANKNIFTY.NS,490.00,579.25,688.15,490.00,0.00,530.00,TARGET_HIT,0,7.84
2025-12-09,09:28:01,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,09:28:01,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,0,-39.38
2025-12-09,09:28:11,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,09:28:11,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,0,-39.38
2025-12-09,09:32:58,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,09:32:58,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,0,-39.38
