ticker,company_name,listing_date,listing_price,current_price,num_shares,invested_amount,current_value,absolute_return,return_pct,days_held,years_held,cagr,xirr,status
AVONMORE,Avonmore Capital & Management Services Limited,2023-01-04,8.050000190734863,16.690000534057617,1863.3539931171963,15000,31099.3791402644,16099.379140264398,107.32919426842933,1044,2.858316221765914,29.05821787632299,29.05821787624454,PROFIT
BCLIND,BCL Industries Limited,2021-03-04,12.027406807904237,39.5,1247.1516295717392,15000,49262.4893680837,34262.4893680837,228.41659578722465,1715,4.695414099931554,28.820504229906184,28.820504229906042,PROFIT
ADL,Archidply Decor Limited,2020-10-01,24.049999237060547,83.26000213623047,623.700643486313,15000,51929.31690903874,36929.31690903874,246.19544606025826,1869,5.117043121149897,27.466796062459874,27.466796062459736,PROFIT
360ONE,360 One Wam Limited,2019-09-19,247.22234816778274,1089.0,60.674126393379005,15000,66074.12364238974,51074.123642389735,340.49415761593156,2247,6.151950718685832,27.254314201183472,27.254314201176598,PROFIT
AAATECH,AAA Technologies Limited,2020-11-12,27.550811205934814,88.31999969482422,544.4485785873629,15000,48085.698294683374,33085.698294683374,220.57132196455584,1827,5.002053388090349,26.224423634952277,26.224423624205162,PROFIT
ASALCBR,Associated Alcohols & Breweries Limited,2020-02-12,276.89599641454004,1010.2999877929688,54.17196418233347,15000,54729.93475213264,39729.93475213264,264.86623168088425,2101,5.752224503764545,25.23466860852004,25.234668581253473,PROFIT
ASKAUTOLTD,ASKAUTOLTD,2023-11-15,301.70017462375057,455.3999938964844,49.71823439846018,15000,22641.683641602747,7641.683641602747,50.94455761068498,729,1.995893223819302,22.911550728448283,22.91155072613388,PROFIT
ASIANENE,Asian Energy Services Limited,2021-12-09,150.4734143091016,335.6000061035156,99.68538342053625,15000,33454.41528436326,18454.415284363262,123.0294352290884,1435,3.9288158795345653,22.650265691925718,22.650265691920787,PROFIT
ARE&M,Amara Raja Energy & Mobility Limited,2023-10-18,631.8246632127929,964.0999755859375,23.74076365383688,15000,22888.46965905565,7888.469659055649,52.589797727037656,757,2.0725530458590007,22.616932260913725,22.616932258556183,PROFIT
BIRLANU,BirlaNu Limited,2025-04-07,1584.7372518615132,1791.0999755859375,9.465291474899221,15000,16953.283329605776,1953.283329605776,13.021888864038509,220,0.6023271731690623,22.535501866101228,22.53550186609999,PROFIT
AWFIS,AWFIS,2024-05-30,435.0,584.0999755859375,34.48275862068966,15000,20141.378468480605,5141.378468480605,34.27585645653737,532,1.4565366187542779,22.427302011830918,22.42730201167428,PROFIT
BECTORFOOD,Mrs. Bectors Food Specialities Limited,2020-12-24,488.3094361150826,1289.300048828125,30.71822678533058,15000,39605.01129424013,24605.011294240132,164.03340862826755,1785,4.887063655030801,21.977750548471263,21.97775054842702,PROFIT
AVL,Aditya Vision Limited,2024-11-06,438.65050133513114,535.3499755859375,34.19578902644392,15000,18306.714820448622,3306.714820448622,22.044765469657477,372,1.0184804928131417,21.604389874387664,21.60438987438034,PROFIT
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,2021-08-06,43.75,96.9000015258789,342.85714285714283,15000,33222.857666015625,18222.857666015625,121.4857177734375,1560,4.271047227926078,20.464030250783093,20.46403025078255,PROFIT
ANURAS,Anupam Rasayan India Ltd,2021-03-24,516.1006134682162,1071.800048828125,29.064100310207763,15000,31150.904131626205,16150.904131626205,107.67269421084136,1695,4.640657084188912,17.055290496897733,17.05529049444883,PROFIT
